conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
ARCHITECTURAL_COMPONENT_166,shoe,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_167,shutter,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_168,sill,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_169,sill beam,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_170,skirting board,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_171,skylight,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_172,sleeper wall,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_173,sluice,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_174,smoke hood,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_175,soffit,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_176,sole piece,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_177,soulace,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_178,spandrel,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_179,spere,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_180,spider,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_181,spire,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_182,springer,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_183,sprocket,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_184,spur,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_185,spur wheel,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_186,squint,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_187,staddle stone,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_188,stage,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_189,stained glass,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_190,stake hole,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_191,stanchion,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_192,steps,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_192_1,riser,,ARCHITECTURAL_COMPONENT_192,Index,GCI
ARCHITECTURAL_COMPONENT_192_2,tread,,ARCHITECTURAL_COMPONENT_192,Index,GCI
ARCHITECTURAL_COMPONENT_193,stokehole,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_194,stone nut,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_195,stonework,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_196,stop,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_197,strap,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_198,striking gear,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_199,striking rod,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_200,string,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_201,strut,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_202,stud,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_203,tail pole,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_204,tail race,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_205,template,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_206,threshold,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_207,tie,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_207_1,tiebeam,,ARCHITECTURAL_COMPONENT_207,Index,GCI
