conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ADMINISTRATIVE_SUBDIVISION:1,Community Plan Area,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ADMINISTRATIVE_SUBDIVISION:2,Council District,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ADMINISTRATIVE_SUBDIVISION:3,Neighborhood Council,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ADMINISTRATIVE_SUBDIVISION:4,Neighborhood,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
