conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
HISTEVENT_TYPE:65,triennials,,HISTEVENT_TYPE:55,Index,GCI
HISTEVENT_TYPE:66,explosions,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:67,famines,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:68,fasts,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:69,fires,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:70,holidays,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:71,legal holidays,,HISTEVENT_TYPE:70,Index,GCI
HISTEVENT_TYPE:72,local holidays,,HISTEVENT_TYPE:70,Index,GCI
HISTEVENT_TYPE:73,national holidays,,HISTEVENT_TYPE:70,Index,GCI
HISTEVENT_TYPE:74,religious holidays,,HISTEVENT_TYPE:70,Index,GCI
