conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
HISTORIC_DISTRICT_TYPE:1,Residential District,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTORIC_DISTRICT_TYPE:2,Commerical District,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTORIC_DISTRICT_TYPE:3,Institutional District,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTORIC_DISTRICT_TYPE:4,Industrial District,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTORIC_DISTRICT_TYPE:5,Archaeological District,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
