conceptid,Value,ValueType,Provider 
RESOURCE_CLASSIFICATION:1,1,sortorder,GCI
RESOURCE_CLASSIFICATION:2,2,sortorder,GCI
RESOURCE_CLASSIFICATION:3,3,sortorder,GCI
RESOURCE_CLASSIFICATION:4,4,sortorder,GCI
RESOURCE_CLASSIFICATION:5,5,sortorder,GCI
RESOURCE_CLASSIFICATION:6,6,sortorder,GCI
RESOURCE_CLASSIFICATION:7,7,sortorder,GCI
RESOURCE_CLASSIFICATION:8,8,sortorder,GCI
RESOURCE_CLASSIFICATION:9,9,sortorder,GCI
RESOURCE_CLASSIFICATION:10,10,sortorder,GCI
