conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
BEGIN_EXIST:1,Start Date,,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
BEGIN_EXIST:2,Built Date,,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
BEGIN_EXIST:3,Birth Date,,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
BEGIN_EXIST:4,Creation Date,,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
BEGIN_EXIST:5,Formation Date,,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
