conceptid,value,valuetype,provider
CTP:39,1945,PeriodOfSignificanceBegin,GCI
CTP:41,1955,PeriodOfSignificanceBegin,GCI
CTP:42,1955,PeriodOfSignificanceBegin,GCI
CTP:43,1955,PeriodOfSignificanceBegin,GCI
CTP:44,1955,PeriodOfSignificanceBegin,GCI
CTP:47,1919,PeriodOfSignificanceBegin,GCI
CTP:49,1919,PeriodOfSignificanceBegin,GCI
CTP:50,1919,PeriodOfSignificanceBegin,GCI
CTP:52,1920,PeriodOfSignificanceBegin,GCI
CTP:53,1920,PeriodOfSignificanceBegin,GCI
CTP:54,1920,PeriodOfSignificanceBegin,GCI
CTP:57,1926,PeriodOfSignificanceBegin,GCI
CTP:58,1926,PeriodOfSignificanceBegin,GCI
CTP:59,1926,PeriodOfSignificanceBegin,GCI
CTP:60,1926,PeriodOfSignificanceBegin,GCI
CTP:62,1935,PeriodOfSignificanceBegin,GCI
CTP:63,1935,PeriodOfSignificanceBegin,GCI
CTP:64,1935,PeriodOfSignificanceBegin,GCI
CTP:65,1935,PeriodOfSignificanceBegin,GCI
CTP:67,1956,PeriodOfSignificanceBegin,GCI
CTP:68,1956,PeriodOfSignificanceBegin,GCI
CTP:70,1936,PeriodOfSignificanceBegin,GCI
CTP:71,1936,PeriodOfSignificanceBegin,GCI
CTP:72,1936,PeriodOfSignificanceBegin,GCI
CTP:74,1928,PeriodOfSignificanceBegin,GCI
CTP:75,1928,PeriodOfSignificanceBegin,GCI
CTP:6,1985,PeriodOfSignificanceEnd,GCI
CTP:7,1985,PeriodOfSignificanceEnd,GCI
CTP:8,1985,PeriodOfSignificanceEnd,GCI
CTP:12,1980,PeriodOfSignificanceEnd,GCI
CTP:13,1980,PeriodOfSignificanceEnd,GCI
CTP:15,1980,PeriodOfSignificanceEnd,GCI
CTP:16,1980,PeriodOfSignificanceEnd,GCI
CTP:17,1980,PeriodOfSignificanceEnd,GCI
CTP:18,1980,PeriodOfSignificanceEnd,GCI
CTP:19,1980,PeriodOfSignificanceEnd,GCI
CTP:20,1980,PeriodOfSignificanceEnd,GCI
CTP:22,1980,PeriodOfSignificanceEnd,GCI
CTP:23,1980,PeriodOfSignificanceEnd,GCI
CTP:27,1975,PeriodOfSignificanceEnd,GCI
CTP:29,1976,PeriodOfSignificanceEnd,GCI
CTP:30,1976,PeriodOfSignificanceEnd,GCI
CTP:31,1976,PeriodOfSignificanceEnd,GCI
CTP:33,1969,PeriodOfSignificanceEnd,GCI
CTP:35,1970,PeriodOfSignificanceEnd,GCI
CTP:36,1970,PeriodOfSignificanceEnd,GCI
CTP:37,1970,PeriodOfSignificanceEnd,GCI
CTP:38,1970,PeriodOfSignificanceEnd,GCI
CTP:39,1970,PeriodOfSignificanceEnd,GCI
CTP:41,1976,PeriodOfSignificanceEnd,GCI
CTP:42,1976,PeriodOfSignificanceEnd,GCI
CTP:43,1976,PeriodOfSignificanceEnd,GCI
CTP:44,1976,PeriodOfSignificanceEnd,GCI
CTP:47,1945,PeriodOfSignificanceEnd,GCI
CTP:49,1945,PeriodOfSignificanceEnd,GCI
CTP:50,1945,PeriodOfSignificanceEnd,GCI
CTP:52,1960,PeriodOfSignificanceEnd,GCI
CTP:53,1960,PeriodOfSignificanceEnd,GCI
CTP:54,1960,PeriodOfSignificanceEnd,GCI
CTP:57,1939,PeriodOfSignificanceEnd,GCI
CTP:58,1939,PeriodOfSignificanceEnd,GCI
CTP:59,1939,PeriodOfSignificanceEnd,GCI
CTP:60,1939,PeriodOfSignificanceEnd,GCI
CTP:62,1955,PeriodOfSignificanceEnd,GCI
CTP:63,1955,PeriodOfSignificanceEnd,GCI
CTP:64,1955,PeriodOfSignificanceEnd,GCI
CTP:65,1955,PeriodOfSignificanceEnd,GCI
CTP:67,1970,PeriodOfSignificanceEnd,GCI
CTP:68,1970,PeriodOfSignificanceEnd,GCI
CTP:70,1960,PeriodOfSignificanceEnd,GCI
CTP:71,1960,PeriodOfSignificanceEnd,GCI
CTP:72,1960,PeriodOfSignificanceEnd,GCI
CTP:74,1945,PeriodOfSignificanceEnd,GCI
CTP:75,1945,PeriodOfSignificanceEnd,GCI
CTP:6,1959,ctpValue,GCI
CTP:7,1923,ctpValue,GCI
CTP:8,1922,ctpValue,GCI
CTP:12,1260,ctpValue,GCI
CTP:13,1261,ctpValue,GCI
CTP:15,1262,ctpValue,GCI
CTP:16,1263,ctpValue,GCI
CTP:17,1264,ctpValue,GCI
CTP:18,1990,ctpValue,GCI
CTP:19,1991,ctpValue,GCI
CTP:20,1992,ctpValue,GCI
CTP:22,1266,ctpValue,GCI
CTP:23,1267,ctpValue,GCI
CTP:27,1998,ctpValue,GCI
CTP:29,14,ctpValue,GCI
CTP:30,16,ctpValue,GCI
CTP:31,15,ctpValue,GCI
CTP:33,1084,ctpValue,GCI
CTP:35,18,ctpValue,GCI
CTP:36,21,ctpValue,GCI
CTP:37,20,ctpValue,GCI
CTP:38,19,ctpValue,GCI
CTP:39,17,ctpValue,GCI
CTP:41,22,ctpValue,GCI
CTP:42,24,ctpValue,GCI
CTP:43,1952,ctpValue,GCI
CTP:44,23,ctpValue,GCI
CTP:47,64,ctpValue,GCI
CTP:49,1259,ctpValue,GCI
CTP:50,1258,ctpValue,GCI
CTP:52,66,ctpValue,GCI
CTP:53,67,ctpValue,GCI
CTP:54,65,ctpValue,GCI
CTP:57,77,ctpValue,GCI
CTP:58,79,ctpValue,GCI
CTP:59,78,ctpValue,GCI
CTP:60,76,ctpValue,GCI
CTP:62,1979,ctpValue,GCI
CTP:63,1981,ctpValue,GCI
CTP:64,1980,ctpValue,GCI
CTP:65,80,ctpValue,GCI
CTP:67,82,ctpValue,GCI
CTP:68,81,ctpValue,GCI
CTP:70,89,ctpValue,GCI
CTP:71,91,ctpValue,GCI
CTP:72,90,ctpValue,GCI
CTP:74,83,ctpValue,GCI
CTP:75,84,ctpValue,GCI
