conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
DESIGNATION:1,National Register of Historic Places,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:2,National Historic Landmark,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:3,National Monument,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:4,California Register of Historic Resources,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:5,California Historic Landmark,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:6,California Point of Historical Interest,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:7,Los Angeles Historic Cultural Monument,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:8,Los Angeles Historic Preservation Overlay Zone,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
