conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
DESCRIPTION_TYPE:1,Primary,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
DESCRIPTION_TYPE:2,General Description,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
DESCRIPTION_TYPE:3,Architectural Description,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
DESCRIPTION_TYPE:4,Summary of Significance,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
DESCRIPTION_TYPE:5,Comments,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
