conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MEASUREMENT_TYPE:1,length,,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
MEASUREMENT_TYPE:2,depth,,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
MEASUREMENT_TYPE:3,breadth,,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
MEASUREMENT_TYPE:4,weight,,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
MEASUREMENT_TYPE:5,tonnage,,MEASUREMENT_TYPE:4,Index,EH
MEASUREMENT_TYPE:6,height,,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
